Date,Open,High,Low,Close,Volume,OpenInt
2/25/2005,365.7,365.7,359.5,360.1,14800,0
2/28/2005,361,361,356.25,357.5,11200,0
3/1/2005,358,362,358,359.26,20600,0
3/2/2005,360.25,361.5,358,358,22600,0
3/3/2005,357,364,356.5,357.51,17300,0
3/4/2005,358.5,359.5,358,358.35,8700,0
3/7/2005,359.35,360.5,358.17,359,15000,0
3/8/2005,360,360.99,358.5,360,25500,0
3/9/2005,360,360,357.05,357.05,8800,0
3/10/2005,357.2,359,357,358.99,5400,0
3/11/2005,359.5,362.55,357.5,357.75,43300,0
3/14/2005,358.75,368,358.6,367.91,40900,0
3/15/2005,367.91,373,367,367.5,26500,0
3/16/2005,367.5,367.5,365,365.75,10500,0
3/17/2005,365,371,364.96,365.1,40200,0
3/18/2005,366.1,366.1,360.6,362,14600,0
3/21/2005,362,362,357.49,358.25,6500,0
3/22/2005,357.25,357.25,350.05,352,30100,0
3/23/2005,352,352,346.07,347,23800,0
3/24/2005,348,348.5,341,345,39900,0
3/28/2005,346,348.5,340.01,342.65,13500,0
3/29/2005,343.65,345,342,343.5,12100,0
3/30/2005,342.5,343.75,339,342.71,28700,0
3/31/2005,343.71,346.3,340.3,345.21,15400,0
4/1/2005,346,348.5,344,347.9,15200,0
4/4/2005,347,347.49,345.5,347.49,6600,0
4/5/2005,346.5,349.5,346.5,349.5,10500,0
4/6/2005,347.75,349.45,347.75,348.01,4400,0
4/7/2005,347.1,355.2,346.51,349.65,45200,0
4/8/2005,350,350.5,343.5,345.8,65200,0
4/11/2005,346.5,355,345.08,354.91,37600,0
4/12/2005,354,354,349.25,350.44,31000,0
4/13/2005,349,352,349,351.5,11000,0
4/14/2005,351.5,353.22,351.5,353,10700,0
4/15/2005,353,353,343.01,343.01,24200,0
4/18/2005,344,347.49,343.5,347.01,17900,0
4/19/2005,347.01,348.2,345,348.2,19400,0
4/20/2005,348.2,348.2,344,344.95,12500,0
4/21/2005,344.5,348.5,336.5,337.7,34900,0
4/22/2005,338.8,338.8,333.5,333.5,18100,0
4/25/2005,334,337.95,333.03,337.95,14700,0
4/26/2005,337.95,343,337.95,341.95,21000,0
4/27/2005,341,342,336.5,342,15300,0
4/28/2005,341.5,345.23,340.51,345.23,20900,0
4/29/2005,346,346.15,343.1,343.1,28800,0
5/2/2005,344,348,343.5,344.3,21200,0
5/3/2005,345,346,342.48,344.45,13500,0
5/4/2005,346.35,353,346,348.2,35900,0
5/5/2005,348.5,349.49,344.1,344.45,19900,0
5/6/2005,345.45,346.45,339,340,17200,0
5/9/2005,341,341.5,338,339.65,13200,0
5/10/2005,340.5,346.5,339.56,343.75,27600,0
5/11/2005,344.75,344.75,341.1,343,14100,0
5/12/2005,342,346,341,342,36200,0
5/13/2005,343,343,339.7,339.7,9700,0
5/16/2005,338.7,342.01,338.7,341.08,18400,0
5/17/2005,340.08,344.5,340.08,342.51,6600,0
5/18/2005,342.25,348,341.5,344.95,21700,0
5/19/2005,346.85,349.5,341.01,342.06,15300,0
5/20/2005,342.9,344.5,342.9,343,10600,0
5/23/2005,342.5,346.5,342,344.9,16700,0
5/24/2005,343.5,344,341.71,342.5,6500,0
5/25/2005,342.5,342.5,338.76,338.77,8300,0
5/26/2005,338.77,340.75,338.5,340,7100,0
